frame,front_r,front_g,front_b,joue_gauche_r,joue_gauche_g,joue_gauche_b,joue_droite_r,joue_droite_g,joue_droite_b,nez_r,nez_g,nez_b,sous_oeil_gauche_r,sous_oeil_gauche_g,sous_oeil_gauche_b,sous_oeil_droit_r,sous_oeil_droit_g,sous_oeil_droit_b
0,,,,,,,,,,,,,,,,,,
1,171.1189422607422,120.1546859741211,100.38968658447266,119.85350799560547,62.52682113647461,42.306053161621094,165.45584106445312,115.95899200439453,98.01734924316406,188.55404663085938,123.89865112304688,100.24662017822266,144.02586364746094,80.32327270507812,61.566810607910156,172.81236267089844,122.95584869384766,105.89404296875
2,171.17727661132812,120.04073333740234,100.252197265625,117.61339569091797,60.778785705566406,40.953941345214844,163.99533081054688,114.88015747070312,97.42334747314453,188.1193389892578,123.39447784423828,99.76795959472656,144.72007751464844,80.7099380493164,61.30831527709961,176.39915466308594,125.24628448486328,107.4097671508789
3,171.23780822753906,120.06355285644531,100.23041534423828,117.57132720947266,60.74043273925781,41.200416564941406,165.10874938964844,115.6249008178711,98.20882415771484,188.3013458251953,123.49888610839844,100.02120208740234,144.8959197998047,81.07755279541016,60.91428756713867,176.7557830810547,124.48841857910156,107.67157745361328
4,171.56744384765625,120.26878356933594,100.4071044921875,118.50768280029297,61.582401275634766,41.869415283203125,164.84860229492188,115.28641510009766,97.94517517089844,188.9977569580078,124.20112609863281,100.67640686035156,144.8323516845703,80.76725769042969,60.60354995727539,176.76344299316406,124.20429992675781,107.98925018310547
5,171.53062438964844,120.26591491699219,100.41273498535156,118.69426727294922,61.87331771850586,42.28166961669922,164.88565063476562,115.55441284179688,98.35883331298828,188.3355712890625,123.40965270996094,99.98989868164062,144.5813446044922,80.00198364257812,59.5853157043457,177.1006317138672,124.1781997680664,107.85115051269531
6,172.31643676757812,120.9969253540039,101.34208679199219,119.30481719970703,62.207763671875,42.8382453918457,165.236328125,115.88263702392578,98.66720581054688,189.0435791015625,124.13631439208984,100.846923828125,144.4527130126953,79.95372009277344,58.92354202270508,177.0560302734375,124.3448257446289,108.37284851074219
7,171.30789184570312,120.03157043457031,100.30089569091797,119.2845687866211,61.44104766845703,42.518924713134766,164.55953979492188,115.22956848144531,98.04824829101562,187.8205108642578,122.7714614868164,98.97770690917969,144.97703552246094,80.44258880615234,59.27975082397461,177.2276611328125,123.65531921386719,108.03829956054688
8,171.45724487304688,120.17101287841797,100.47410583496094,118.98971557617188,61.37379837036133,42.72633743286133,165.0872802734375,115.3124008178711,98.14763641357422,189.1114959716797,124.12184143066406,100.36091613769531,144.74693298339844,80.46122741699219,59.56734848022461,176.9584197998047,123.46826934814453,108.04595184326172
9,171.18878173828125,119.8070068359375,99.81121063232422,118.78064727783203,61.14695358276367,41.54121780395508,165.10238647460938,115.61904907226562,98.67619323730469,188.0933380126953,123.13888549804688,99.36555480957031,145.39830017089844,81.43856048583984,59.65042495727539,177.45823669433594,123.71092224121094,107.8886489868164
10,171.70822143554688,120.28484344482422,100.30157470703125,118.33676147460938,60.76131820678711,41.68861389160156,165.12579345703125,115.40744018554688,98.52214813232422,187.72918701171875,122.72918701171875,98.86792755126953,144.47177124023438,80.30242156982422,58.627017974853516,176.91331481933594,124.93446350097656,108.64270782470703
11,171.4189453125,119.96490478515625,99.91133880615234,117.8879623413086,60.26374435424805,41.17536544799805,165.20274353027344,115.33360290527344,98.630859375,188.48532104492188,123.59142303466797,99.84988403320312,145.28750610351562,81.19583129882812,59.96666717529297,177.47122192382812,125.31769561767578,109.29850769042969
12,171.88331604003906,120.57508087158203,100.65645599365234,117.4975814819336,59.94740295410156,41.19377136230469,165.93844604492188,115.7713851928711,99.08473205566406,188.44146728515625,123.61538696289062,99.8673324584961,145.2329864501953,80.94432830810547,59.919586181640625,177.76344299316406,125.60645294189453,108.53333282470703
13,171.91171264648438,120.4869613647461,100.60614013671875,117.48155975341797,59.655738830566406,41.353824615478516,165.4995880126953,115.71463775634766,98.91251373291016,188.6651611328125,123.93348693847656,100.10259246826172,145.22950744628906,80.59016418457031,60.12090301513672,177.80645751953125,125.82795715332031,108.92472839355469
14,171.7531280517578,120.17610931396484,100.28701782226562,117.8632583618164,59.89226531982422,41.97099304199219,166.4148406982422,116.49961853027344,99.94322204589844,188.70179748535156,123.95964050292969,100.21188354492188,146.0271453857422,81.27557373046875,61.00417709350586,178.08119201660156,125.73290252685547,109.12606811523438
15,172.11402893066406,120.38887786865234,100.754150390625,118.91820526123047,59.90042495727539,42.0405387878418,166.73577880859375,116.4676513671875,100.00779724121094,188.74615478515625,124.006591796875,100.22637176513672,145.36216735839844,81.27766418457031,59.591548919677734,178.3382110595703,125.75365447998047,109.2693099975586
16,171.84007263183594,120.15772247314453,100.50880432128906,118.3538818359375,59.44292068481445,41.5197868347168,165.90916442871094,115.9456558227539,99.65682983398438,188.39524841308594,123.5469970703125,99.76783752441406,145.9536895751953,81.83158111572266,60.07368469238281,178.29847717285156,125.36601257324219,108.82135009765625
17,171.35488891601562,119.64936828613281,99.98358154296875,116.14761352539062,58.28219985961914,39.54631042480469,164.7572021484375,114.96661376953125,98.81487274169922,187.06777954101562,122.11333465576172,98.27999877929688,145.46707153320312,81.56686401367188,60.31337356567383,178.63201904296875,125.98129272460938,109.6112289428711
18,171.1696014404297,119.43553924560547,99.74807739257812,116.68465423583984,58.79327392578125,40.42116165161133,164.98440551757812,114.98127746582031,98.91185760498047,187.96221923828125,123.24555206298828,99.56111145019531,144.98016357421875,80.73611450195312,58.873016357421875,179.60446166992188,126.44827270507812,110.39350891113281
19,171.64418029785156,119.9343032836914,100.30350494384766,118.10611724853516,59.85804748535156,41.35137176513672,164.73953247070312,114.81568908691406,98.78903198242188,187.9479522705078,123.17940521240234,99.4274673461914,145.2128448486328,80.77108764648438,58.85341262817383,180.060791015625,126.6771469116211,110.54087829589844
20,171.66842651367188,119.8681869506836,100.26557159423828,116.46757507324219,58.82730484008789,40.73310470581055,164.04843139648438,114.30998229980469,98.55663299560547,188.1854248046875,123.35099029541016,99.74392700195312,144.72244262695312,79.98228454589844,58.07283401489258,179.98757934570312,126.84886169433594,110.84679412841797
21,171.6746826171875,119.82974243164062,100.2245101928711,115.96087646484375,58.21688461303711,40.670555114746094,165.0140838623047,114.69640350341797,98.82707214355469,188.71307373046875,123.82146453857422,100.23804473876953,145.17787170410156,80.37944793701172,58.98814392089844,179.9187469482422,127.27708435058594,111.62916564941406
22,171.61227416992188,119.77032470703125,100.06253814697266,115.25235748291016,57.87348556518555,40.49192428588867,166.6101531982422,116.14115142822266,100.14712524414062,188.45616149902344,123.4832992553711,99.95094299316406,145.67617797851562,80.64154815673828,59.42973709106445,179.23622131347656,126.33858489990234,110.53739929199219
23,170.9766387939453,119.2689208984375,99.90656280517578,117.7158203125,58.696380615234375,40.90750503540039,164.98072814941406,114.91519165039062,98.970703125,188.42210388183594,123.06105041503906,100.20947265625,144.43702697753906,79.85114288330078,58.66603088378906,179.20126342773438,126.51362609863281,110.88050079345703
24,171.08163452148438,119.31230163574219,99.97003936767578,116.5604248046875,57.756309509277344,40.24568557739258,163.97897338867188,114.40465545654297,98.61336517333984,188.48440551757812,122.99687957763672,100.05093383789062,143.22543334960938,78.53564453125,57.36223602294922,179.30628967285156,126.55374908447266,110.9006118774414
25,171.1471405029297,119.44475555419922,100.21136474609375,117.21399688720703,58.38333511352539,40.93866729736328,165.09576416015625,115.6525650024414,99.86042785644531,188.83074951171875,123.43756103515625,100.48709869384766,144.76834106445312,79.78378295898438,58.434364318847656,180.63157653808594,127.8117446899414,112.03643798828125
26,171.40074157714844,119.60853576660156,100.28070831298828,116.73307037353516,58.10585021972656,40.85798645019531,166.05198669433594,116.12614440917969,100.3348617553711,189.80189514160156,124.48893737792969,101.57955932617188,144.41712951660156,79.64990997314453,58.36871337890625,180.48040771484375,128.03298950195312,112.67216491699219
27,171.0772247314453,119.32731628417969,100.03446197509766,116.42957305908203,57.846397399902344,40.69789505004883,165.92787170410156,116.31404876708984,100.62960052490234,189.93678283691406,124.68704986572266,101.79689025878906,144.6839141845703,80.0628433227539,58.85212707519531,181.88125610351562,129.0187530517578,113.60208129882812
28,170.95977783203125,119.02420806884766,99.79595947265625,115.48104858398438,56.60261535644531,39.313724517822266,164.58438110351562,115.4362564086914,99.87398529052734,188.65628051757812,123.38391876220703,100.37387084960938,143.78529357910156,79.55125427246094,58.49709701538086,178.89065551757812,126.38568878173828,111.1332015991211
29,171.11904907226562,119.1117935180664,99.85208892822266,116.45088958740234,57.473960876464844,40.09294509887695,164.20855712890625,115.206298828125,99.69767761230469,189.31211853027344,124.21414184570312,101.1949462890625,144.50828552246094,80.01289367675781,58.62062454223633,179.51730346679688,127.05961608886719,111.7903823852539
30,171.3655242919922,119.39552307128906,100.13911437988281,114.9169921875,55.90856170654297,39.27107620239258,164.03253173828125,114.56977844238281,99.07447814941406,188.22457885742188,122.9959716796875,99.94561767578125,145.2093048095703,80.44573974609375,59.16085433959961,180.1748504638672,127.07858276367188,111.66011810302734
31,170.98297119140625,118.97953033447266,99.7121353149414,116.69023895263672,57.2730827331543,40.14472961425781,164.19911193847656,114.59286499023438,99.04086303710938,188.432861328125,123.20641326904297,100.18236541748047,143.88368225097656,79.43339538574219,58.29080581665039,180.93116760253906,127.83747863769531,112.46653747558594
32,170.88726806640625,118.99382781982422,99.71719360351562,116.26253509521484,56.93205642700195,39.6259880065918,164.865478515625,114.83074951171875,99.42202758789062,187.78878784179688,122.49449157714844,99.46546173095703,144.56167602539062,79.94307708740234,59.05502700805664,178.90565490722656,125.62641143798828,110.64339447021484
33,170.9248504638672,118.71482849121094,99.67144775390625,114.89364624023438,55.931907653808594,39.264591217041016,164.5707244873047,114.98179626464844,99.68276977539062,188.01898193359375,122.70330047607422,99.66633605957031,144.6593017578125,80.14733123779297,59.2357292175293,179.54493713378906,126.36711120605469,109.8738021850586
34,170.82601928710938,118.5290298461914,99.55188751220703,114.2485122680664,55.19748306274414,38.607688903808594,164.19903564453125,114.71498107910156,99.53398132324219,187.62977600097656,122.37525177001953,99.32293701171875,143.3985137939453,78.73184204101562,57.806331634521484,178.75762939453125,125.60877990722656,109.07633209228516
35,170.9661102294922,118.66776275634766,99.77051544189453,111.7157211303711,53.37190628051758,37.65351104736328,163.60313415527344,114.05831909179688,99.0156478881836,187.56398010253906,122.35039520263672,99.36417388916016,145.07266235351562,80.02867889404297,58.606117248535156,179.04283142089844,125.51769256591797,108.72067260742188
36,170.99232482910156,118.7108154296875,99.74296569824219,109.49417114257812,51.78691864013672,34.62046813964844,161.7687530517578,112.93472290039062,97.90833282470703,186.3235321044922,121.0999984741211,98.05196380615234,144.9662322998047,79.89681243896484,58.3151969909668,179.0187225341797,125.33145904541016,108.42884063720703
37,170.97552490234375,118.68243408203125,99.70197296142578,108.41554260253906,50.888248443603516,34.53949737548828,161.9616241455078,112.82658386230469,97.3127212524414,186.23764038085938,120.76721954345703,98.83316802978516,144.67286682128906,79.62081909179688,58.057621002197266,178.84715270996094,124.8931884765625,107.89871215820312
38,170.8430633544922,118.54662322998047,99.57782745361328,108.91148376464844,50.91404724121094,34.70943069458008,161.99441528320312,112.93086242675781,97.03211975097656,187.17787170410156,121.70849609375,99.91007995605469,144.8105010986328,79.73921203613281,56.10694122314453,179.4622344970703,125.63668823242188,108.76078796386719
39,170.99215698242188,118.57588195800781,99.68624877929688,109.13082885742188,50.98445510864258,34.779144287109375,162.70013427734375,113.34525299072266,97.40990447998047,187.2681884765625,121.59222412109375,99.85044860839844,144.7164764404297,79.90995788574219,57.02107238769531,180.3715362548828,126.4158935546875,109.52495574951172
40,171.28594970703125,118.93147277832031,100.07381439208984,109.40196990966797,51.156578063964844,34.785526275634766,162.52430725097656,113.19027709960938,97.18402862548828,187.08636474609375,121.37044525146484,99.62284088134766,145.16067504882812,80.40264892578125,57.58979034423828,180.526611328125,126.9889907836914,110.17430877685547
41,171.31747436523438,118.9377212524414,100.06172943115234,109.89278411865234,51.604854583740234,34.25691223144531,163.6601104736328,113.7921371459961,97.7528076171875,186.69090270996094,120.95252227783203,99.23636627197266,145.28460693359375,80.41715240478516,58.45808792114258,180.14552307128906,126.25,109.39552307128906
42,171.10360717773438,118.67845916748047,99.7490463256836,109.7221450805664,50.86074447631836,34.21684265136719,163.67694091796875,113.90544128417969,97.78223419189453,187.3216094970703,121.55276489257812,99.94773864746094,145.6782989501953,80.74031066894531,58.69379806518555,179.89443969726562,126.4370346069336,109.82962799072266
43,171.0876922607422,118.69830322265625,99.7659683227539,109.6583251953125,50.08953094482422,34.10467529296875,163.01930236816406,113.26258087158203,97.40868377685547,188.34349060058594,121.32825469970703,100.043701171875,145.5099639892578,80.4262924194336,58.91035842895508,179.19056701660156,126.05807495117188,109.82939910888672
44,171.3520050048828,118.97135162353516,100.13558197021484,108.75484466552734,49.36835479736328,33.843650817871094,162.9241943359375,113.13560485839844,97.35396575927734,188.28343200683594,122.17964172363281,100.52694702148438,145.49810791015625,80.28408813476562,58.4375,180.42066955566406,126.9704818725586,110.86900329589844
45,171.26480102539062,118.84259796142578,100.07209014892578,107.57612609863281,48.377418518066406,33.34967803955078,162.77517700195312,113.06620788574219,97.338623046875,188.375244140625,122.20954895019531,100.52729034423828,144.9792022705078,79.90170288085938,58.31190872192383,181.11129760742188,127.2660903930664,111.08000183105469
46,171.02813720703125,118.56295013427734,99.830810546875,107.15370178222656,48.02716064453125,33.56975173950195,163.24778747558594,113.47725677490234,97.92939758300781,188.48965454101562,122.51822662353516,100.62561798095703,145.2764434814453,79.93692016601562,57.504638671875,181.4656982421875,127.37725830078125,111.01444244384766
47,171.19935607910156,118.65271759033203,99.86595916748047,106.69124603271484,47.76498794555664,33.5005989074707,162.46897888183594,113.16525268554688,97.64859771728516,189.0242462158203,123.05858612060547,101.31010437011719,145.5968017578125,79.92717742919922,58.735347747802734,181.9530487060547,128.1199951171875,111.60347747802734
48,171.4488525390625,119.00738525390625,100.12211608886719,106.89518737792969,47.4546012878418,33.129188537597656,163.11228942871094,113.12813568115234,97.56604766845703,189.46563720703125,123.57333374023438,101.87076568603516,145.33274841308594,79.31150817871094,57.918582916259766,182.65284729003906,128.67703247070312,112.02245330810547
49,171.80140686035156,119.2518539428711,100.35330963134766,107.1919937133789,47.67792510986328,33.30393981933594,163.05751037597656,113.11895751953125,97.59673309326172,188.8944091796875,122.8558349609375,101.10456848144531,145.32659912109375,79.48440551757812,58.51008987426758,182.70933532714844,128.9065704345703,112.51557159423828
50,172.54916381835938,119.92264556884766,100.86243438720703,107.12437438964844,47.13874816894531,32.849998474121094,163.44223022460938,113.63346862792969,98.1009292602539,188.0771484375,121.9288558959961,100.13126373291016,144.29400634765625,78.44283294677734,57.4646110534668,182.67311096191406,129.017578125,112.8681869506836
51,172.6463623046875,119.94091033935547,101.04939270019531,108.40483093261719,48.238067626953125,33.88459396362305,164.4332275390625,114.18631744384766,98.61563873291016,188.87142944335938,122.7295913696289,100.96632385253906,144.2624969482422,78.48750305175781,57.39821243286133,182.60409545898438,128.7030792236328,112.8174057006836
52,172.71766662597656,120.24818420410156,101.09247589111328,108.3302230834961,48.49751281738281,33.56903076171875,164.41566467285156,114.18968963623047,98.67027282714844,188.07676696777344,121.84547424316406,99.5442886352539,143.73345947265625,77.98162078857422,57.444854736328125,182.6903839111328,128.7562255859375,112.87366485595703
53,173.04074096679688,120.61106872558594,101.56941986083984,108.43202209472656,48.69365692138672,34.082176208496094,165.6632843017578,114.92694091796875,99.26302337646484,189.3240509033203,122.99174499511719,100.91434478759766,143.6636199951172,77.70932006835938,56.96526336669922,181.64564514160156,127.81632995605469,112.17625427246094
54,173.36618041992188,120.89811706542969,101.8586196899414,108.82530212402344,48.916263580322266,34.037349700927734,164.3616180419922,113.64947509765625,98.21736145019531,189.26370239257812,122.80248260498047,100.53567504882812,143.30357360839844,77.7892837524414,55.2071418762207,181.3619384765625,127.81529998779297,112.08582305908203
55,173.73924255371094,120.92446899414062,101.85429382324219,110.45828247070312,50.29509353637695,34.79263687133789,162.62301635742188,112.28273010253906,97.11322021484375,189.38592529296875,122.9216079711914,100.59095764160156,141.06581115722656,75.6764144897461,52.8537483215332,180.7616424560547,127.09124755859375,111.21788024902344
56,173.86355590820312,120.80193328857422,101.25260925292969,109.3498764038086,49.00434112548828,34.331886291503906,162.658203125,112.23634338378906,96.36404418945312,188.52647399902344,121.92607116699219,99.64435577392578,140.1657257080078,74.65348052978516,51.98681640625,178.9718017578125,124.65977478027344,108.12593841552734
57,173.6374969482422,120.55992889404297,100.88915252685547,110.03778076171875,49.601463317871094,34.195613861083984,163.4252471923828,112.3498764038086,96.2939682006836,189.4228057861328,122.5319595336914,100.35693359375,137.7362060546875,72.58792877197266,50.18275833129883,176.86781311035156,123.25670623779297,107.2739486694336
58,173.54098510742188,120.49125671386719,100.78834533691406,108.28952026367188,48.785491943359375,33.96342086791992,163.10037231445312,112.01505279541016,96.03387451171875,189.04420471191406,122.31826782226562,100.03634643554688,138.36709594726562,72.98734283447266,50.32730484008789,177.45523071289062,123.40298461914062,107.28544616699219
59,172.84996032714844,119.81298828125,100.12455749511719,107.77528381347656,49.048065185546875,33.57178497314453,162.60858154296875,111.9219741821289,95.85045623779297,188.5735626220703,121.54572296142578,99.24552917480469,137.9135284423828,72.74247741699219,50.07143020629883,174.54359436035156,120.85343170166016,104.84415435791016
60,173.4215545654297,120.41663360595703,100.85310363769531,106.75093078613281,48.45415115356445,33.421932220458984,162.37274169921875,111.47157287597656,95.5180892944336,188.92115783691406,121.92308044433594,99.6326904296875,137.8770294189453,72.81193542480469,50.46654510498047,174.35044860839844,120.43893432617188,104.46548461914062
61,173.26145935058594,119.92881774902344,100.44218444824219,108.07621765136719,49.46588897705078,34.19791030883789,160.7406463623047,110.29987335205078,94.40898132324219,187.49172973632812,120.66991424560547,98.13534545898438,136.982421875,72.08963012695312,48.560630798339844,172.73770141601562,118.7395248413086,102.65937805175781
62,173.34129333496094,119.97383117675781,100.50167083740234,110.17613983154297,50.95502853393555,35.30293655395508,160.74208068847656,110.37926483154297,94.57378387451172,188.6498565673828,121.86518096923828,99.39088439941406,137.4853973388672,72.62226104736328,49.75182342529297,172.54937744140625,118.64273071289062,102.91023254394531
63,173.3256378173828,119.94495391845703,100.3586654663086,110.48094940185547,51.099937438964844,35.589630126953125,160.36122131347656,110.15861511230469,94.43865966796875,188.50953674316406,121.5772933959961,99.19561004638672,136.4789276123047,71.5325698852539,48.39271926879883,171.28677368164062,117.15828704833984,101.39478302001953
64,172.99359130859375,119.57939910888672,99.62430572509766,111.06775665283203,51.48759841918945,36.110103607177734,159.99008178710938,109.84119415283203,94.1805191040039,187.3191680908203,120.29461669921875,97.95467376708984,136.13792419433594,71.14700317382812,47.87477493286133,171.0804443359375,116.8446044921875,101.04753112792969
65,173.3669891357422,120.01861572265625,99.84407043457031,110.03987884521484,50.889095306396484,34.646728515625,159.38189697265625,109.9906997680664,94.04773712158203,187.09556579589844,119.77413177490234,97.48455810546875,134.5927276611328,69.39817810058594,46.45090866088867,170.46502685546875,116.52741241455078,99.29300689697266
66,173.46864318847656,120.05247497558594,99.90026092529297,110.33228302001953,51.212886810302734,35.178775787353516,159.71910095214844,110.0156021118164,94.13545227050781,187.563232421875,120.20622253417969,98.10505676269531,134.5649871826172,69.31407928466797,46.51805114746094,171.3018798828125,116.9056625366211,99.72264099121094
67,173.59283447265625,119.70967864990234,99.19749450683594,109.72480773925781,50.88161087036133,34.61964797973633,160.72555541992188,110.94596099853516,94.9574966430664,186.37570190429688,119.17756652832031,96.266357421875,133.64706420898438,68.58444213867188,44.67741775512695,169.365234375,115.205078125,97.23046875
68,173.33737182617188,119.62588500976562,99.11492919921875,110.65274047851562,51.63466262817383,35.256858825683594,159.548583984375,110.07181549072266,94.06155395507812,186.6264190673828,119.43962097167969,96.46981048583984,133.7716827392578,68.92389678955078,45.1911506652832,170.00550842285156,115.97982025146484,98.17247772216797
69,173.8365478515625,120.03384399414062,99.58561706542969,112.0946273803711,52.61660385131836,36.31135559082031,159.4483184814453,110.33883666992188,94.28012084960938,187.7225341796875,120.36553192138672,97.4772720336914,133.98715209960938,69.06605529785156,45.54311752319336,168.92015075683594,115.05323028564453,97.5171127319336
70,174.13552856445312,120.27243041992188,99.92695617675781,114.41323852539062,54.078712463378906,37.58318328857422,160.3130340576172,111.0135269165039,94.83641052246094,187.31900024414062,119.86914825439453,97.04584503173828,133.40037536621094,68.15225219726562,45.54511260986328,168.55746459960938,114.41571044921875,96.99808502197266
71,174.19235229492188,120.3120346069336,99.98932647705078,114.81532287597656,54.48278045654297,38.49821853637695,159.21084594726562,110.53945922851562,94.3027114868164,188.9587860107422,121.53876495361328,98.93719482421875,133.11753845214844,67.9197769165039,45.49813461303711,168.10000610351562,113.86274719238281,96.72352600097656
72,174.43087768554688,120.37715148925781,100.2090072631836,116.26718139648438,55.507110595703125,38.59004592895508,160.61904907226562,111.45392608642578,95.18614959716797,188.73487854003906,121.01210021972656,98.74899291992188,133.5827178955078,68.32353210449219,45.476104736328125,168.4282989501953,114.1124038696289,97.27713012695312
73,174.23709106445312,120.10478210449219,99.92292022705078,115.23422241210938,55.00728225708008,38.07645797729492,159.63160705566406,110.71748352050781,94.51338195800781,187.83743286132812,119.87881469726562,97.59211730957031,134.24729919433594,68.79783630371094,45.842960357666016,169.50863647460938,114.4222640991211,97.19961547851562
74,174.18032836914062,120.03411102294922,99.90709686279297,114.4468994140625,54.3675422668457,37.796539306640625,160.1177520751953,110.74370574951172,94.62909698486328,187.90538024902344,120.66036224365234,98.26493835449219,134.65921020507812,69.06024169921875,46.27194595336914,168.806884765625,113.9942626953125,97.03441619873047
75,174.28054809570312,120.0155258178711,99.82184600830078,111.93073272705078,52.635040283203125,36.66239929199219,159.56729125976562,110.46233367919922,94.45267486572266,187.59359741210938,120.30552673339844,97.94180297851562,134.5796661376953,68.95254516601562,45.66610336303711,168.6930389404297,113.44632720947266,96.0696792602539
76,174.30422973632812,120.02754974365234,99.91322326660156,111.63130187988281,52.40486145019531,36.551273345947266,159.63050842285156,110.79515075683594,94.68474578857422,188.3565673828125,121.19522094726562,98.92430114746094,135.18716430664062,69.40106964111328,46.13547134399414,168.3728485107422,113.04971313476562,95.65583038330078
77,174.81105041503906,120.49177551269531,100.4411849975586,111.61351776123047,52.28986358642578,36.56194305419922,159.2604217529297,110.890625,94.65299224853516,188.12307739257812,120.87487030029297,98.68000030517578,134.6631317138672,68.97001647949219,45.485008239746094,167.6833038330078,112.22264862060547,94.6679458618164
78,174.72183227539062,120.39512634277344,100.36539459228516,111.82325744628906,52.17328643798828,36.54692077636719,160.2972412109375,111.9394760131836,95.55682373046875,189.01461791992188,121.72442626953125,99.58350372314453,134.67689514160156,68.94945526123047,45.27436828613281,169.048095703125,113.29859924316406,95.91382598876953
79,174.44113159179688,120.15237426757812,100.1703109741211,112.2640609741211,52.33510971069336,36.5766716003418,159.93035888671875,111.35564422607422,94.99662017822266,188.60511779785156,121.27427673339844,99.1494140625,134.4602813720703,68.71660614013672,45.04331970214844,169.50904846191406,113.83903503417969,96.52515411376953
80,175.16213989257812,120.92120361328125,100.9936294555664,113.30943298339844,53.15441131591797,37.2212028503418,160.16004943847656,111.49186706542969,95.23487091064453,188.65170288085938,121.11325073242188,99.20833587646484,134.519775390625,68.81356048583984,45.293785095214844,169.08230590820312,113.36625671386719,96.09671020507812
81,175.08477783203125,120.64105987548828,100.73324584960938,111.84123229980469,51.90953826904297,36.94523239135742,160.1431427001953,111.30958557128906,94.96671295166016,188.91285705566406,121.42156982421875,99.49781799316406,135.39306640625,69.5163803100586,45.26011657714844,168.54766845703125,112.52738189697266,95.37728118896484
82,175.10906982421875,120.81487274169922,100.77864074707031,112.21304321289062,52.28012466430664,37.14285659790039,161.3502655029297,112.16886901855469,95.92018127441406,187.369384765625,119.80513763427734,97.808349609375,134.3712158203125,68.62310791015625,44.49810791015625,170.21775817871094,113.33826446533203,96.01480102539062
83,174.90225219726562,120.6005630493164,100.65234375,114.42571258544922,53.857879638671875,38.443153381347656,161.7250213623047,112.22401428222656,96.18578338623047,187.4110107421875,119.80582427978516,97.85005187988281,135.93255615234375,69.88632202148438,45.99614715576172,169.27423095703125,112.88040924072266,95.79175567626953
84,174.29940795898438,120.2135009765625,100.27215576171875,112.25978088378906,52.760101318359375,36.96151351928711,160.4778289794922,111.95565795898438,95.73527526855469,186.59475708007812,119.09214782714844,97.10366821289062,136.7914276123047,70.85769653320312,47.55555725097656,170.02178955078125,113.9623794555664,96.95445251464844
85,174.36468505859375,120.22550201416016,100.49235534667969,112.07486724853516,52.31684494018555,36.485294342041016,160.8022003173828,112.39282989501953,96.25431060791016,186.47535705566406,119.02259063720703,97.08727264404297,137.824951171875,71.79878997802734,48.68008041381836,170.5846405029297,114.69685363769531,97.59842681884766
86,174.25648498535156,120.30311584472656,100.4762191772461,111.66533660888672,52.126827239990234,36.44422149658203,159.67019653320312,112.13558959960938,95.8848876953125,188.34303283691406,121.08731842041016,99.35134887695312,138.3804931640625,72.3307876586914,49.01911926269531,171.6371307373047,116.0611801147461,99.00633239746094
87,174.13839721679688,120.05413818359375,100.32335662841797,111.19471740722656,51.7181510925293,36.38745880126953,159.55523681640625,112.5742416381836,96.32723236083984,187.82965087890625,120.20610046386719,98.640380859375,137.6908721923828,71.55307006835938,49.11731719970703,171.21224975585938,115.76530456542969,98.69591522216797
88,174.76856994628906,120.85813903808594,101.20188903808594,112.47066497802734,52.349334716796875,37.13199996948242,160.43994140625,112.72358703613281,96.5918960571289,188.885986328125,121.27252960205078,99.66340637207031,138.43212890625,71.77437591552734,49.56596374511719,171.9419708251953,116.12276458740234,99.23213958740234
89,174.59365844726562,120.65203857421875,100.97312927246094,114.44756317138672,53.911582946777344,38.33858871459961,160.26234436035156,112.61238098144531,96.40309143066406,188.5430450439453,120.95915985107422,99.38742065429688,137.81338500976562,70.98377227783203,49.08316421508789,169.7236328125,113.5611801147461,96.67721557617188
90,174.616455078125,120.52909088134766,100.83349609375,114.49363708496094,54.57602310180664,39.115875244140625,159.61769104003906,112.04421997070312,95.91226959228516,189.1764678955078,121.65397644042969,99.92964172363281,137.67019653320312,71.11205291748047,49.701904296875,166.454345703125,112.87305450439453,96.0801773071289
